mode_id,lens_name,alpha,tau,seed,trial,mismatch_tv,idem_tv,macro_drift_tv,delta_tv,K,m,N,lam,gamma
FM1_macro_preserved_micro_funnel,std,,1,2,20,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,21,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,22,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,23,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,24,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,25,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,26,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,27,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,28,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,29,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,30,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,31,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,32,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,33,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,34,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,35,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,36,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,37,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,38,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,39,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,40,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,41,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,42,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,43,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,44,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,45,0.9000000000000005,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,46,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,47,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,48,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,2,49,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,0,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,1,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,2,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,3,0.9000000000000005,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,4,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,5,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,6,0.9000000000000005,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,7,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,8,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,9,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,10,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,11,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,12,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,13,0.8999999999999995,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,14,0.8999999999999998,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,15,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,16,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,17,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,18,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,19,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,20,0.8999999999999996,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,21,0.9000000000000004,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,22,0.9000000000000002,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,23,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,24,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,25,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,26,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,27,0.9000000000000001,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,28,0.8999999999999999,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,29,0.9,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,30,0.8999999999999997,,,,6,10,60,0.2,0.7
FM1_macro_preserved_micro_funnel,std,,1,3,31,0.9,,,,6,10,60,0.2,0.7
