seed,Nbin,s,t,delta_route,delta_closure_idem,delta_iter,mean0,var0
90,401,0.5,0.48,0.5617787430368671,1.4273521600771666e-16,0.1447125750784241,0.24581127356309124,0.24256473320080515
90,401,0.5,0.5,0.5699307860105856,1.6615398293340355e-16,0.14623000207088743,0.24581127356309124,0.24256473320080515
90,401,0.5,0.52,0.5789131827740283,1.4625887306829455e-16,0.14765321596138564,0.24581127356309124,0.24256473320080515
90,401,0.5,0.54,0.586405457036741,1.7379760824942636e-16,0.14898834453653179,0.24581127356309124,0.24256473320080515
90,401,0.5,0.56,0.5936393399378621,1.3232687515185582e-16,0.1502643985644811,0.24581127356309124,0.24256473320080515
90,401,0.5,0.58,0.6009866731035838,0.0,0.1514766771783569,0.24581127356309124,0.24256473320080515
90,401,0.5,0.6,0.6083249640608933,0.0,0.15263241917105036,0.24581127356309124,0.24256473320080515
90,401,0.5,0.62,0.614404151248793,0.0,0.15374747795982918,0.24581127356309124,0.24256473320080515
90,401,0.5,0.64,0.620628927672577,2.034505376669049e-16,0.15482219006814746,0.24581127356309124,0.24256473320080515
90,401,0.5,0.66,0.6253478811411407,3.428247269399165e-16,0.15585026944803843,0.24581127356309124,0.24256473320080515
90,401,0.5,0.68,0.6307416297717852,2.371692252312041e-16,0.1568439066835926,0.24581127356309124,0.24256473320080515
90,401,0.5,0.7000000000000001,0.6374703314775523,5.412337245047638e-16,0.15782363524019005,0.24581127356309124,0.24256473320080515
90,401,0.5,0.72,0.6427529211081997,6.093216209368535e-17,0.15877762299716594,0.24581127356309124,0.24256473320080515
90,401,0.5,0.74,0.6465471518524302,1.9987267049770274e-16,0.15969839696602728,0.24581127356309124,0.24256473320080515
90,401,0.5,0.76,0.6513439503066273,1.2146036856407888e-10,0.16059354752776772,0.24581127356309124,0.24256473320080515
90,401,0.5,0.78,0.6573845691995875,1.0027410108845447e-10,0.1614865211802191,0.24581127356309124,0.24256473320080515
90,401,0.5,0.8,0.6607790545909797,8.277592169645895e-11,0.16234817740006396,0.24581127356309124,0.24256473320080515
90,401,0.5,0.8200000000000001,0.6650654524799382,6.832290793236731e-11,0.16319743047924531,0.24581127356309124,0.24256473320080515
90,401,0.5,0.84,0.6692410830940752,5.638151198087554e-11,0.16402621584628363,0.24581127356309124,0.24256473320080515
90,401,0.5,0.86,0.6742292028624324,4.651574156237792e-11,0.16485559274817926,0.24581127356309124,0.24256473320080515
90,401,0.5,0.88,0.6764447739461721,3.836491248385837e-11,0.1656688645251212,0.24581127356309124,0.24256473320080515
90,401,0.5,0.9,0.6816222581725737,3.1634673450676304e-11,0.1664742373887688,0.24581127356309124,0.24256473320080515
90,401,0.5,0.92,0.6864670186402401,2.607566446837309e-11,0.16725660762270236,0.24581127356309124,0.24256473320080515
90,401,0.5,0.9400000000000001,0.6894503325422756,2.1483427667043364e-11,0.16803883550384577,0.24581127356309124,0.24256473320080515
90,401,0.5,0.96,0.6923267205561006,1.7691375762355493e-11,0.16881403612531407,0.24581127356309124,0.24256473320080515
90,401,0.5,0.98,0.6956533454648064,1.4561629679832322e-11,0.1695761756143802,0.24581127356309124,0.24256473320080515
90,401,0.5,1.0,0.6978119287240269,1.197893796959712e-11,0.17033353257974942,0.24581127356309124,0.24256473320080515
90,401,0.8,0.0,1.4278962463968795e-16,3.324382460721304e-13,3.324382460721304e-13,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.02,0.014484204341545083,2.042192993170583e-13,0.007002497892617315,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.04,0.0273215836472831,1.279199292089705e-13,0.013655080465299596,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.06,0.03884397057114938,8.146679010577748e-14,0.020025307618993213,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.08,0.04960757836257553,5.247199098139965e-14,0.026152085463659498,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.1,0.05974581334723723,3.433214957492645e-14,0.03206190441481636,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.12,0.06906633608658894,2.2574369627327096e-14,0.03776757981264007,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.14,0.07847192054195826,1.4961637694003242e-14,0.043277336889136174,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.16,0.08740085711509854,9.956907989472093e-15,0.04859756683382939,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.18,0.09607371230723813,6.69520756747518e-15,0.0537310222329598,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.2,0.1044911883674084,4.51892754986527e-15,0.05868229447161495,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.22,0.11226781921891098,2.9190739537062133e-15,0.06345400075836002,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.24,0.12047279798414044,1.9500592226175597e-15,0.0680494793261225,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.26,0.12826264279597716,1.266293053851718e-15,0.07247490849704129,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.28,0.1358675148475671,1.0371897130956328e-15,0.07673047885777054,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.3,0.14333436201763933,5.514627590736028e-16,0.08082342844416059,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.32,0.15054243339542844,3.9209820843358545e-16,0.0847548733630259,-0.3638934714502493,0.07408241069471527
90,401,0.8,0.34,0.1576332741153782,2.469780652837559e-16,0.08853322171852779,-0.3638934714502493,0.07408241069471527
