case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,52,16,3,0.0,2,0.31635274281848746,,,,,,,
FM1_low_omega_strong_gradient,50,52,16,3,0.0,5,0.49059306238679123,,,,,,,
FM1_low_omega_strong_gradient,50,52,16,3,0.0,10,0.6253002804197674,,,,,,,
FM1_low_omega_strong_gradient,50,53,16,3,0.0,2,0.32080588896603157,,,,,,,
FM1_low_omega_strong_gradient,50,53,16,3,0.0,5,0.4777847537811625,,,,,,,
FM1_low_omega_strong_gradient,50,53,16,3,0.0,10,0.6064413306720624,,,,,,,
FM1_low_omega_strong_gradient,50,54,16,3,0.0,2,0.32088495739090017,,,,,,,
FM1_low_omega_strong_gradient,50,54,16,3,0.0,5,0.4919164959355733,,,,,,,
FM1_low_omega_strong_gradient,50,54,16,3,0.0,10,0.6158468695116888,,,,,,,
FM1_low_omega_strong_gradient,50,55,16,3,0.0,2,0.3185697430945087,,,,,,,
FM1_low_omega_strong_gradient,50,55,16,3,0.0,5,0.48924150099598185,,,,,,,
FM1_low_omega_strong_gradient,50,55,16,3,0.0,10,0.6151137672011586,,,,,,,
FM1_low_omega_strong_gradient,50,56,16,3,0.0,2,0.3264522380130746,,,,,,,
FM1_low_omega_strong_gradient,50,56,16,3,0.0,5,0.49105465297739953,,,,,,,
FM1_low_omega_strong_gradient,50,56,16,3,0.0,10,0.6219520189608698,,,,,,,
FM1_low_omega_strong_gradient,50,57,16,3,0.0,2,0.3229750035089008,,,,,,,
FM1_low_omega_strong_gradient,50,57,16,3,0.0,5,0.4957107650092294,,,,,,,
FM1_low_omega_strong_gradient,50,57,16,3,0.0,10,0.623367690473757,,,,,,,
FM1_low_omega_strong_gradient,50,58,16,3,0.0,2,0.3161128997436523,,,,,,,
FM1_low_omega_strong_gradient,50,58,16,3,0.0,5,0.4922187866974206,,,,,,,
FM1_low_omega_strong_gradient,50,58,16,3,0.0,10,0.6236884826489395,,,,,,,
FM1_low_omega_strong_gradient,50,59,16,3,0.0,2,0.317321371669526,,,,,,,
FM1_low_omega_strong_gradient,50,59,16,3,0.0,5,0.49474158258309997,,,,,,,
FM1_low_omega_strong_gradient,50,59,16,3,0.0,10,0.6105511270638861,,,,,,,
FM1_low_omega_strong_gradient,50,60,16,3,0.0,2,0.3187517053375771,,,,,,,
FM1_low_omega_strong_gradient,50,60,16,3,0.0,5,0.4800582699356566,,,,,,,
FM1_low_omega_strong_gradient,50,60,16,3,0.0,10,0.6046112502246656,,,,,,,
