seed,M,mu0,s,t,mean_micro,y_mean,mismatch,abs_mismatch
80,20000,0.3,0.6000000000000001,0.0,0.24545534954981407,0.24545534954981407,0.0,0.0
80,20000,0.3,0.6000000000000001,0.01,0.2483162031439735,0.2460593153022892,0.0022568878416843186,0.0022568878416843186
80,20000,0.3,0.6000000000000001,0.02,0.2512029430089224,0.24666626061423835,0.004536682394684022,0.004536682394684022
80,20000,0.3,0.6000000000000001,0.03,0.2541164545549764,0.24727620758888655,0.006840246966089841,0.006840246966089841
80,20000,0.3,0.6000000000000001,0.04,0.25705764255261004,0.24788917854862483,0.009168464003985216,0.009168464003985216
80,20000,0.3,0.6000000000000001,0.05,0.26002743219995667,0.24850519603773344,0.011522236162223226,0.011522236162223226
80,20000,0.3,0.6000000000000001,0.06,0.2630267702296811,0.24912428282514562,0.013902487404535452,0.013902487404535452
80,20000,0.3,0.6000000000000001,0.07,0.2660566260581484,0.24974646190725325,0.016310164150895146,0.016310164150895146
80,20000,0.3,0.6000000000000001,0.08,0.26911799297997124,0.25037175651075394,0.018746236469217303,0.018746236469217303
80,20000,0.3,0.6000000000000001,0.09,0.27221188941119256,0.2510001900955415,0.02121169931565109,0.02121169931565109
80,20000,0.3,0.6000000000000001,0.1,0.2753393601845452,0.25163178635763994,0.02370757382690525,0.02370757382690525
80,20000,0.3,0.6000000000000001,0.11,0.27850147790043983,0.252266569232182,0.02623490866825784,0.02623490866825784
80,20000,0.3,0.6000000000000001,0.12,0.28169934433755095,0.2529045628964325,0.028794781441118467,0.028794781441118467
80,20000,0.3,0.6000000000000001,0.13,0.2849340919271159,0.25354579177285796,0.03138830015425792,0.03138830015425792
80,20000,0.3,0.6000000000000001,0.14,0.28820688529532607,0.254190280532243,0.03401660476308305,0.03401660476308305
80,20000,0.3,0.6000000000000001,0.15,0.29151892287847475,0.2548380540968547,0.036680868781620024,0.036680868781620024
80,20000,0.3,0.6000000000000001,0.16,0.29487143861583837,0.25548913764365466,0.039382300972183704,0.039382300972183704
80,20000,0.3,0.6000000000000001,0.17,0.2982657037256056,0.25614355660756116,0.04212214711804446,0.04212214711804446
80,20000,0.3,0.6000000000000001,0.18,0.30170302856954057,0.25680133668476124,0.04490169188477933,0.04490169188477933
80,20000,0.3,0.6000000000000001,0.19,0.3051847646124599,0.25746250383607433,0.04772226077638558,0.04772226077638558
80,20000,0.3,0.6000000000000001,0.2,0.3087123064830449,0.25812708429036735,0.050585222192677526,0.050585222192677526
80,20000,0.3,0.6000000000000001,0.21,0.31228709414298045,0.2587951045480234,0.053491989594957046,0.053491989594957046
80,20000,0.3,0.6000000000000001,0.22,0.3159106151719269,0.259466591384464,0.05644402378746294,0.05644402378746294
80,20000,0.3,0.6000000000000001,0.23,0.31958440717639425,0.2601415718537268,0.05944283532266742,0.05944283532266742
80,20000,0.3,0.6000000000000001,0.24,0.32331006033119647,0.26082007329209894,0.06248998703909753,0.06248998703909753
80,20000,0.3,0.6000000000000001,0.25,0.32708922006283375,0.2615021233218073,0.06558709674102647,0.06558709674102647
80,20000,0.3,0.6000000000000001,0.26,0.33092358988487197,0.26218774985476717,0.0687358400301048,0.0687358400301048
